GO:0000002    10 "mitochondrial genome maintenance"
GO:0000010     1 "heptaprenyl diphosphate synthase activity"
GO:0000011     1 "vacuole inheritance"
GO:0000012     6 "single strand break repair"
GO:0000014     4 "single-stranded DNA endodeoxyribonuclease activity"
GO:0000015    11 "phosphopyruvate hydratase complex"
GO:0000018    26 "regulation of DNA recombination"
GO:0000019     1 "regulation of mitotic recombination"
GO:0000022     1 "mitotic spindle elongation"
GO:0000023     2 "maltose metabolic process"
GO:0000025     1 "maltose catabolic process"
GO:0000027     4 "ribosomal large subunit assembly"
GO:0000028     2 "ribosomal small subunit assembly"
GO:0000032     1 "cell wall mannoprotein biosynthetic process"
GO:0000035     3 "acyl binding"
GO:0000036     6 "acyl carrier activity"
GO:0000041    52 "transition metal ion transport"
GO:0000045    29 "autophagosome assembly"
GO:0000049    59 "tRNA binding"
GO:0000050    20 "urea cycle"
GO:0000052    15 "citrulline metabolic process"
GO:0000053     6 "argininosuccinate metabolic process"
GO:0000054     3 "ribosomal subunit export from nucleus"
GO:0000055     3 "ribosomal large subunit export from nucleus"
GO:0000056     2 "ribosomal small subunit export from nucleus"
GO:0000062     9 "fatty-acyl-CoA binding"
GO:0000070    32 "mitotic sister chromatid segregation"
GO:0000075    30 "cell cycle checkpoint signaling"
GO:0000076     5 "DNA replication checkpoint signaling"
GO:0000077    22 "DNA damage checkpoint signaling"
GO:0000079     1 "regulation of cyclin-dependent protein serine/threonine kinase activity"
GO:0000082    39 "G1/S transition of mitotic cell cycle"
GO:0000086    17 "G2/M transition of mitotic cell cycle"
GO:0000096   167 "sulfur amino acid metabolic process"
GO:0000097   130 "sulfur amino acid biosynthetic process"
GO:0000098    14 "sulfur amino acid catabolic process"
GO:0000099     2 "sulfur amino acid transmembrane transporter activity"
GO:0000103    16 "sulfate assimilation"
GO:0000105    36 "L-histidine biosynthetic process"
GO:0000107     2 "imidazoleglycerol-phosphate synthase activity"
GO:0000109     2 "nucleotide-excision repair complex"
GO:0000118     9 "histone deacetylase complex"
GO:0000122   175 "negative regulation of transcription by RNA polymerase II"
GO:0000123    10 "histone acetyltransferase complex"
GO:0000124     1 "SAGA complex"
GO:0000131     3 "incipient cellular bud site"
GO:0000132    12 "establishment of mitotic spindle orientation"
GO:0000136     1 "mannan polymerase complex"
GO:0000137     3 "Golgi cis cisterna"
GO:0000138     1 "Golgi trans cisterna"
GO:0000139    82 "Golgi membrane"
GO:0000145     1 "exocyst"
GO:0000146     1 "microfilament motor activity"
GO:0000147     1 "actin cortical patch assembly"
GO:0000149    17 "SNARE binding"
GO:0000150     6 "DNA strand exchange activity"
GO:0000151    36 "ubiquitin ligase complex"
GO:0000152     7 "nuclear ubiquitin ligase complex"
GO:0000154    18 "rRNA modification"
GO:0000155    62 "phosphorelay sensor kinase activity"
GO:0000156    36 "phosphorelay response regulator activity"
GO:0000159     1 "protein phosphatase type 2A complex"
GO:0000160    63 "phosphorelay signal transduction system"
GO:0000162    20 "L-tryptophan biosynthetic process"
GO:0000164     2 "protein phosphatase type 1 complex"
GO:0000165   198 "MAPK cascade"
GO:0000166  2438 "nucleotide binding"
GO:0000175    28 "3'-5'-RNA exonuclease activity"
GO:0000177     2 "cytoplasmic exosome (RNase complex)"
GO:0000178     2 "exosome (RNase complex)"
GO:0000179     2 "rRNA (adenine-N6,N6-)-dimethyltransferase activity"
GO:0000183     6 "rDNA heterochromatin formation"
GO:0000184     3 "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000209    55 "protein polyubiquitination"
GO:0000210     3 "NAD+ diphosphatase activity"
GO:0000212     4 "meiotic spindle organization"
GO:0000213     2 "tRNA-intron lyase activity"
GO:0000217    15 "DNA secondary structure binding"
GO:0000224     1 "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity"
GO:0000226    97 "microtubule cytoskeleton organization"
GO:0000228    42 "nuclear chromosome"
GO:0000234     2 "phosphoethanolamine N-methyltransferase activity"
GO:0000235     8 "astral microtubule"
GO:0000242     9 "pericentriolar material"
GO:0000243     1 "commitment complex"
GO:0000244     2 "spliceosomal tri-snRNP complex assembly"
GO:0000245     5 "spliceosomal complex assembly"
GO:0000253     3 "3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity"
GO:0000255    14 "allantoin metabolic process"
GO:0000256     4 "allantoin catabolic process"
GO:0000257     1 "nitrilase activity"
GO:0000266    16 "mitochondrial fission"
