GO:0036094,5957,"small molecule binding"
GO:0043167,5253,"ion binding"
GO:0043169,3878,"cation binding"
GO:0046872,3841,"metal ion binding"
GO:1901363,2842,"heterocyclic compound binding"
GO:1901265,2446,"nucleoside phosphate binding"
GO:0000166,2438,"nucleotide binding"
GO:0005515,2310,"protein binding"
GO:0043168,2103,"anion binding"
GO:0042802,1579,"identical protein binding"
GO:0017076,1570,"purine nucleotide binding"
GO:0097367,1476,"carbohydrate derivative binding"
GO:0003676,1467,"nucleic acid binding"
GO:0030554,1460,"adenyl nucleotide binding"
GO:0032553,1292,"ribonucleotide binding"
GO:0032555,1184,"purine ribonucleotide binding"
GO:0035639,1130,"purine ribonucleoside triphosphate binding"
GO:0032559,1070,"adenyl ribonucleotide binding"
GO:0005524,1029,"ATP binding"
GO:0046914,1021,"transition metal ion binding"
