# full_id,pdb_id,assembly_id,multimericity,auth_chain_id,asym_chain_id,seq_database,seq_database_accession
121P-1,121P,1,2,A,A,UniProt,P01112
1A0G-1,1A0G,1,2,A_B,A_B,UniProt,P19938
1A3A-1,1A3A,1,2,A_B_C_D,A_B_C_D,UniProt,P00550
1A64-1,1A64,1,2,A_B,A_B,UniProt,P08921
1A7X-1,1A7X,1,2,A_B,A_B,UniProt,P62942
1A94-2,1A94,2,2,A_B_D_E,A_B_C_D,UniProt,P03367
1A9Y-1,1A9Y,1,2,A,A,UniProt,P09147
1A9Z-1,1A9Z,1,2,A,A,UniProt,P09147
1AE3-1,1AE3,1,2,A,A,UniProt,P69543
1AG9-1,1AG9,1,2,A_B,A_B,UniProt,P61949
1AHX-1,1AHX,1,2,A_B,A_B,UniProt,P00509
1AJ8-1,1AJ8,1,2,A_B,A_B,UniProt,Q53554
1AJR-1,1AJR,1,2,A_B,A_B,UniProt,P00503
1AJV-1,1AJV,1,2,A_B,A_B,UniProt,P03366
1AMK-1,1AMK,1,2,A,A,UniProt,P48499
1AOF-1,1AOF,1,2,A_B,A_B,UniProt,P72181
1AOM-1,1AOM,1,2,A_B,A_B,UniProt,P72181
1AOZ-1,1AOZ,1,2,A_B,A_B,UniProt,P37064
1AXY-1,1AXY,1,2,A,A,UniProt,P16404
1AYF-1,1AYF,1,2,A_B,A_B,UniProt,P00257
1B0X-1,1B0X,1,2,A,A,UniProt,Q03137
1B37-6,1B37,6,2,A_B_C,A_B_C,UniProt,O64411
1B5P-1,1B5P,1,2,A_B,A_B,UniProt,Q56232
1B6M-1,1B6M,1,2,A_B,A_B,UniProt,P03369
1B8A-1,1B8A,1,2,A_B,A_B,UniProt,Q52428
1B8C-1,1B8C,1,2,A_B,A_B,UniProt,P02618
1B8J-1,1B8J,1,2,A_B,A_B,UniProt,P00634
1B9H-1,1B9H,1,2,A,A,UniProt,O52552
1BAY-1,1BAY,1,2,A_B,A_B,UniProt,P19157
1BDO-1,1BDO,1,2,A,A,UniProt,P0ABD8
1BEC-1,1BEC,1,2,A,A,UniProt,Q8K1Z5
1BED-1,1BED,1,2,A,A,UniProt,P32557
1BGP-1,1BGP,1,2,A,A,UniProt,Q40069
1BKF-1,1BKF,1,2,A,A,UniProt,P62942
1BM9-1,1BM9,1,2,A_B,A_B,UniProt,P0CI76
1BUO-1,1BUO,1,2,A,A,UniProt,Q05516
1BV1-1,1BV1,1,2,A,A,UniProt,P15494
1C1F-1,1C1F,1,2,A,A,UniProt,P26788
1C2P-1,1C2P,1,2,A_B,A_B,UniProt,P26663
1C9O-1,1C9O,1,2,A_B,A_B,UniProt,P41016
1CDC-1,1CDC,1,2,A_B,A_B,UniProt,P08921
1CEI-1,1CEI,1,2,A,A,UniProt,Q03708
1CFW-1,1CFW,1,2,A_B,A_B,UniProt,P00273
1CGK-1,1CGK,1,2,A,A,UniProt,P30074
1CGZ-1,1CGZ,1,2,A,A,UniProt,P30074
1CHH-1,1CHH,1,2,A,A,UniProt,P00044
1CHM-1,1CHM,1,2,A_B,A_B,UniProt,P38488
1CI4-1,1CI4,1,2,A_B,A_B,UniProt,O75531
1CI8-1,1CI8,1,2,A_B,A_B,UniProt,Q9KX40
1CLX-2,1CLX,2,2,A_B_C_D,A_B_C_D,UniProt,P14768
1CMB-1,1CMB,1,2,A_B,A_B,UniProt,P0A8U6
1CMC-1,1CMC,1,2,A_B,A_B,UniProt,P0A8U6
1CML-1,1CML,1,2,A,A,UniProt,P30074
1CQR-4,1CQR,4,2,A_B,A_B,UniProt,P08254
1CQS-1,1CQS,1,2,A_B,A_B,UniProt,P07445
1CSU-1,1CSU,1,2,A,A,UniProt,P00044
1CT9-2,1CT9,2,2,A_B_C_D,A_B_C_D,UniProt,P22106
1CZ9-1,1CZ9,1,2,A,A,UniProt,O92956
1CZB-1,1CZB,1,2,A,A,UniProt,O92956
1D5N-1,1D5N,1,2,A_B_C_D,A_B_C_D,UniProt,P00448
1D6I-2,1D6I,2,2,A_B,A_B,UniProt,P30074
1D6O-3,1D6O,3,2,A_B,A_B,UniProt,P62942
1D7I-4,1D7I,4,2,A_B,A_B,UniProt,P62942
1D7X-1,1D7X,1,2,A_B,A_B,UniProt,P08254
1D8H-2,1D8H,2,2,A_B_C,A_B_C,UniProt,O13297
1DAA-1,1DAA,1,2,A_B,A_B,UniProt,P19938
1DAD-1,1DAD,1,2,A,A,UniProt,P13000
1DAF-1,1DAF,1,2,A,A,UniProt,P13000
1DAH-1,1DAH,1,2,A,A,UniProt,P13000
1DAI-1,1DAI,1,2,A,A,UniProt,P13000
1DAM-1,1DAM,1,2,A,A,UniProt,P13000
1DDT-1,1DDT,1,2,A,A,UniProt,P00588
1DFN-1,1DFN,1,2,A_B,A_B,UniProt,P59666
1DHJ-1,1DHJ,1,2,A_B,A_B,UniProt,P0ABQ4
1DIF-1,1DIF,1,2,A_B,A_B,UniProt,P03367
1DJ9-2,1DJ9,2,2,A,A,UniProt,P12998
1DJC-1,1DJC,1,2,A,A,UniProt,P00807
1DL5-2,1DL5,2,2,A_B,A_B,UniProt,Q56308
1DMH-1,1DMH,1,2,A_B,A_B,UniProt,P07773
1DMI-1,1DMI,1,2,A_B,A_B,UniProt,P29473
1DMM-1,1DMM,1,2,A,A,UniProt,P07445
1DNL-1,1DNL,1,2,A,A,UniProt,P0AFI7
1DQN-1,1DQN,1,2,A_B,A_B,UniProt,Q24973
1DQS-1,1DQS,1,2,A_B,A_B,UniProt,P07547
1DRA-1,1DRA,1,2,A_B,A_B,UniProt,P0ABQ4
1DWA-1,1DWA,1,2,M,A,UniProt,P29736
1DY7-1,1DY7,1,2,A_B,A_B,UniProt,P72181
1DYS-1,1DYS,1,2,A_B,A_B,UniProt,Q7SIG5
1DZ3-1,1DZ3,1,2,A,A,UniProt,P52934
1E19-1,1E19,1,2,A_B,A_B,UniProt,P95474
1E2I-1,1E2I,1,2,A_B,A_B,UniProt,P0DTH5
1E4M-1,1E4M,1,2,M,A,UniProt,P29736
1E5M-1,1E5M,1,2,A,A,UniProt,P73283
1E5Z-1,1E5Z,1,2,A_B_C_D,A_B_C_D,UniProt,P00282
1E72-1,1E72,1,2,M,A,UniProt,P29736
1E7R-1,1E7R,1,2,A,A,UniProt,P32055
1E7S-1,1E7S,1,2,A,A,UniProt,P32055
1E87-1,1E87,1,2,A,A,UniProt,Q07108
1E8I-1,1E8I,1,2,A_B,A_B,UniProt,Q07108
1E99-1,1E99,1,2,A,A,UniProt,P23919
1E9B-1,1E9B,1,2,A,A,UniProt,P23919
1E9E-1,1E9E,1,2,A,A,UniProt,P23919
1E9F-1,1E9F,1,2,A,A,UniProt,P0A720
1EA2-1,1EA2,1,2,A,A,UniProt,P07445
1EAJ-1,1EAJ,1,2,A_B,A_B,UniProt,P78310
1EBW-1,1EBW,1,2,A_B,A_B,UniProt,P03366
1EC0-1,1EC0,1,2,A_B,A_B,UniProt,P03366
1EC2-1,1EC2,1,2,A_B,A_B,UniProt,P03366
1ECS-1,1ECS,1,2,A_B,A_B,UniProt,P13081
1ED4-1,1ED4,1,2,A_B,A_B,UniProt,P29473
1ED8-1,1ED8,1,2,A_B,A_B,UniProt,P00634
1ED9-1,1ED9,1,2,A_B,A_B,UniProt,P00634
1EEM-1,1EEM,1,2,A,A,UniProt,P78417
1EKE-1,1EKE,1,2,A_B,A_B,UniProt,Q57599
1EN6-2,1EN6,2,2,A_B_C_D,A_B_C_D,UniProt,P00448
1EP0-1,1EP0,1,2,A,A,UniProt,O27818
1EPF-2,1EPF,2,2,A_B_C_D,A_B_C_D,UniProt,P13596
1EVL-1,1EVL,1,2,A_B_C_D,A_B_C_D,UniProt,P0A8M3
1EVY-1,1EVY,1,2,A,A,UniProt,P90551
1EYL-3,1EYL,3,2,A,A,UniProt,P10822
1EYW-1,1EYW,1,2,A,A,UniProt,P0A434
1EZG-1,1EZG,1,2,A_B,A_B,UniProt,O16119
1F07-3,1F07,3,2,A_B_C_D,A_B_C_D,UniProt,Q50744
1F1M-2,1F1M,2,2,A_B_C_D,A_B_C_D,UniProt,Q9AGB1
1F2D-1,1F2D,1,2,A_B_C_D,A_B_C_D,UniProt,Q7M523
1F3T-1,1F3T,1,2,A_B_C_D,A_B_C_D,UniProt,P07805
1F3Z-1,1F3Z,1,2,A,A,UniProt,P69783
1F4B-1,1F4B,1,2,A,A,UniProt,P0A884
1F4C-1,1F4C,1,2,A_B,A_B,UniProt,P0A884
1F4N-1,1F4N,1,2,A_B,A_B,UniProt,P03051
