# full_id,pdb_id,assembly_id,multimericity,auth_chain_id,asym_chain_id,seq_database,seq_database_accession
1A0G-1,1A0G,1,2,A_B,A_B,UniProt,P19938
1A64-1,1A64,1,2,A_B,A_B,UniProt,P08921
1A9Y-1,1A9Y,1,2,A,A,UniProt,P09147
1AG9-1,1AG9,1,2,A_B,A_B,UniProt,P61949
1AJ8-1,1AJ8,1,2,A_B,A_B,UniProt,Q53554
1AMK-1,1AMK,1,2,A,A,UniProt,P48499
1AOF-1,1AOF,1,2,A_B,A_B,UniProt,P72181
1AYF-1,1AYF,1,2,A_B,A_B,UniProt,P00257
1B0X-1,1B0X,1,2,A,A,UniProt,Q03137
1B37-6,1B37,6,2,A_B_C,A_B_C,UniProt,O64411
1B5P-1,1B5P,1,2,A_B,A_B,UniProt,Q56232
1BDO-1,1BDO,1,2,A,A,UniProt,P0ABD8
1BED-1,1BED,1,2,A,A,UniProt,P32557
1BGP-1,1BGP,1,2,A,A,UniProt,Q40069
1CFW-1,1CFW,1,2,A_B,A_B,UniProt,P00273
1CHH-1,1CHH,1,2,A,A,UniProt,P00044
1CHM-1,1CHM,1,2,A_B,A_B,UniProt,P38488
1CI4-1,1CI4,1,2,A_B,A_B,UniProt,O75531
1CMC-1,1CMC,1,2,A_B,A_B,UniProt,P0A8U6
1CQR-4,1CQR,4,2,A_B,A_B,UniProt,P08254
1CZ9-1,1CZ9,1,2,A,A,UniProt,O92956
1D5N-1,1D5N,1,2,A_B_C_D,A_B_C_D,UniProt,P00448
1DJ9-2,1DJ9,2,2,A,A,UniProt,P12998
1DJC-1,1DJC,1,2,A,A,UniProt,P00807
1DMH-1,1DMH,1,2,A_B,A_B,UniProt,P07773
1DMI-1,1DMI,1,2,A_B,A_B,UniProt,P29473
1DQS-1,1DQS,1,2,A_B,A_B,UniProt,P07547
1DYS-1,1DYS,1,2,A_B,A_B,UniProt,Q7SIG5
1DZ3-1,1DZ3,1,2,A,A,UniProt,P52934
1E19-1,1E19,1,2,A_B,A_B,UniProt,P95474
1E4M-1,1E4M,1,2,M,A,UniProt,P29736
1E5M-1,1E5M,1,2,A,A,UniProt,P73283
1E5Z-1,1E5Z,1,2,A_B_C_D,A_B_C_D,UniProt,P00282
1E7S-1,1E7S,1,2,A,A,UniProt,P32055
1E87-1,1E87,1,2,A,A,UniProt,Q07108
1E9F-1,1E9F,1,2,A,A,UniProt,P0A720
1EAJ-1,1EAJ,1,2,A_B,A_B,UniProt,P78310
1EKE-1,1EKE,1,2,A_B,A_B,UniProt,Q57599
1EP0-1,1EP0,1,2,A,A,UniProt,O27818
1EVY-1,1EVY,1,2,A,A,UniProt,P90551
1EYL-3,1EYL,3,2,A,A,UniProt,P10822
1EZG-1,1EZG,1,2,A_B,A_B,UniProt,O16119
1F3T-1,1F3T,1,2,A_B_C_D,A_B_C_D,UniProt,P07805
1F3Z-1,1F3Z,1,2,A,A,UniProt,P69783
1F5M-1,1F5M,1,2,A_B,A_B,UniProt,P36088
1F5V-1,1F5V,1,2,A_B,A_B,UniProt,P17117
1F8R-1,1F8R,1,2,A_B_C_D,A_B_C_D,UniProt,P81382
1FBS-1,1FBS,1,2,A_B,A_B,UniProt,P22121
1FBT-1,1FBT,1,2,A_B,A_B,UniProt,P07953
1FC4-1,1FC4,1,2,A_B,A_B,UniProt,P0AB77
1FCG-1,1FCG,1,2,A,A,UniProt,P12318
1FEE-1,1FEE,1,2,A_B,A_B,UniProt,O00244
1FF9-1,1FF9,1,2,A,A,UniProt,Q9P4R4
1FJ2-3,1FJ2,3,2,A_B,A_B,UniProt,O75608
1FLM-1,1FLM,1,2,A_B,A_B,UniProt,Q46604
1FON-1,1FON,1,2,A_B,A_B,UniProt,P05805
1FPO-7,1FPO,7,2,A_B_C,A_B_C,UniProt,P0A6L9
1FWX-2,1FWX,2,2,A_B_C_D,A_B_C_D,UniProt,Q51705
1FXD-1,1FXD,1,2,A,A,UniProt,P00209
1FZV-1,1FZV,1,2,A_B,A_B,UniProt,P49763
1G29-1,1G29,1,2,1_2,A_B,UniProt,Q9YGA6
1G2Y-2,1G2Y,2,2,A_B_C_D,A_B_C_D,UniProt,P22361
1G60-1,1G60,1,2,A_B,A_B,UniProt,P23192
1G6K-2,1G6K,2,2,A_B_E_F,A_B_C_D,UniProt,P40288
1G85-1,1G85,1,2,A_B,A_B,UniProt,P07435
1GNX-1,1GNX,1,2,A_B,A_B,UniProt,Q59976
1GO8-1,1GO8,1,2,P,A,UniProt,P16317
1GQA-1,1GQA,1,2,A_D,A_B,UniProt,P00148
1GQG-2,1GQG,2,2,A_B_C_D,A_B_C_D,UniProt,Q7SIC2
1GT9-1,1GT9,1,2,1_2,A_B,UniProt,Q8RR56
1GTV-2,1GTV,2,2,A_B,A_B,UniProt,P9WKE1
1GV3-1,1GV3,1,2,A_B,A_B,UniProt,Q8Z0M1
1H69-1,1H69,1,2,A_B_C_D,A_B_C_D,UniProt,P15559
1H6U-1,1H6U,1,2,A,A,UniProt,Q9ZEY1
1HF8-1,1HF8,1,2,A,A,UniProt,O55012
1HSH-2,1HSH,2,2,A_B_C_D,A_B_C_D,UniProt,P04584
1HT9-1,1HT9,1,2,A_B,A_B,UniProt,P02633
1HW3-1,1HW3,1,2,A,A,UniProt,P04818
1HZ5-3,1HZ5,3,2,A_B,A_B,UniProt,Q51912
1I0L-1,1I0L,1,2,A_B,A_B,UniProt,Q4DRC4
1I1D-2,1I1D,2,2,A_B_C_D,A_B_C_D,UniProt,P43577
1I3L-1,1I3L,1,2,A_B,A_B,UniProt,Q14376
1I59-1,1I59,1,2,A_B,A_B,UniProt,Q56310
1ICR-1,1ICR,1,2,A_B,A_B,UniProt,P38489
1IDR-1,1IDR,1,2,A_B,A_B,UniProt,P9WN25
1IG0-1,1IG0,1,2,A_B,A_B,UniProt,P35202
1IG3-1,1IG3,1,2,A_B,A_B,UniProt,Q9R0M5
1IHB-1,1IHB,1,2,A_B,A_B,UniProt,P42773
1IJX-1,1IJX,1,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,P97401
1IQB-1,1IQB,1,2,A_B,A_B,UniProt,P11218
1IS4-1,1IS4,1,2,A,A,UniProt,Q9YIC2
1ISB-1,1ISB,1,2,A_B,A_B,UniProt,P0AGD3
1IX2-1,1IX2,1,2,A_B,A_B,UniProt,Q47454
1J0H-1,1J0H,1,2,A_B,A_B,UniProt,P38940
1J25-1,1J25,1,2,A,A,UniProt,Q8TZH8
1J3Q-1,1J3Q,1,2,A_B,A_B,UniProt,P84140
1J8B-1,1J8B,1,2,A,A,UniProt,P44711
1J8T-1,1J8T,1,2,A,A,UniProt,P00439
1J9B-3,1J9B,3,2,A,A,UniProt,P08692
1J9J-1,1J9J,1,2,A_B,A_B,UniProt,P96112
1JDF-1,1JDF,1,2,A_B_C_D,A_B_C_D,UniProt,P0AES2
1JGT-1,1JGT,1,2,A_B,A_B,UniProt,P0DJQ7
1JHF-1,1JHF,1,2,A_B,A_B,UniProt,P0A7C2
1JHV-1,1JHV,1,2,A,A,UniProt,Q05603
1JIQ-1,1JIQ,1,2,A_B_C_D,A_B_C_D,UniProt,P06744
1JJE-3,1JJE,3,2,A_B,A_B,UniProt,Q79MP6
1JKX-1,1JKX,1,2,A_B_C_D,A_B_C_D,UniProt,P08179
1JLV-2,1JLV,2,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,Q7KIF2
1JRA-1,1JRA,1,2,A_B_C_D,A_B_C_D,UniProt,Q12284
1JUE-1,1JUE,1,2,A_B,A_B,UniProt,A2RJT9
1JZL-1,1JZL,1,2,A_B,A_B,UniProt,P02213
1JZT-3,1JZT,3,2,A_B,A_B,UniProt,P40165
1K0I-2,1K0I,2,2,A,A,UniProt,P20586
1K38-1,1K38,1,2,A_B,A_B,UniProt,P0A1V8
1K3S-1,1K3S,1,2,A_B,A_B,UniProt,A0A0F6AZQ4
1K4P-1,1K4P,1,2,A,A,UniProt,Q8TG90
1K68-1,1K68,1,2,A_B,A_B,UniProt,Q8RTN0
1K6V-1,1K6V,1,2,A_B,A_B,UniProt,P35963
1K95-2,1K95,2,2,A,A,UniProt,P28676
1K96-1,1K96,1,2,A,A,UniProt,P06703
1K9T-1,1K9T,1,2,A,A,UniProt,P07254
1KET-1,1KET,1,2,A_B,A_B,UniProt,P95780
1KEW-1,1KEW,1,2,A_B,A_B,UniProt,P26391
1KGP-1,1KGP,1,2,A_B_C_D,A_B_C_D,UniProt,O69274
1KKO-1,1KKO,1,2,A_B,A_B,UniProt,O66145
1KL9-3,1KL9,3,2,A,A,UniProt,P05198
1KOQ-1,1KOQ,1,2,A_B,A_B,UniProt,Q50940
1KPT-1,1KPT,1,2,A_B,A_B,UniProt,Q90121
1KQD-1,1KQD,1,2,A_B_C_D,A_B_C_D,UniProt,Q01234
1KTB-1,1KTB,1,2,A,A,UniProt,Q90744
1KV0-1,1KV0,1,2,A_B,A_B,UniProt,P59854
1KVO-1,1KVO,1,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,P14555
1KZA-1,1KZA,1,2,1_2,A_B,UniProt,P08661
1L7J-1,1L7J,1,2,A_B,A_B,UniProt,Q9ZB17
1LEC-1,1LEC,1,2,A,A,UniProt,P24146
1LIE-1,1LIE,1,2,A,A,UniProt,P04117
1LK9-1,1LK9,1,2,A_B,A_B,UniProt,Q01594
1LKM-1,1LKM,1,2,A,A,UniProt,P24931
1LOM-1,1LOM,1,2,A,A,UniProt,P81180
1LQP-1,1LQP,1,2,A_B,A_B,UniProt,Q9I4K6
1LR5-2,1LR5,2,2,A_B_C_D,A_B_C_D,UniProt,P13689
1LVO-2,1LVO,2,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,P0C6Y5
1LYX-1,1LYX,1,2,A,A,UniProt,Q07412
1M1F-1,1M1F,1,2,A_B,A_B,UniProt,P13976
1M1G-6,1M1G,6,2,A_B_C_D,A_B_C_D,UniProt,O67757
1M44-1,1M44,1,2,A_B,A_B,UniProt,P9WQG9
1M4J-1,1M4J,1,2,A_B,A_B,UniProt,Q91YR1
1M4R-1,1M4R,1,2,A_B,A_B,UniProt,Q9GZX6
1MOR-1,1MOR,1,2,A,A,UniProt,P17169
1MQE-1,1MQE,1,2,A,A,UniProt,O33199
1MVO-1,1MVO,1,2,A,A,UniProt,P13792
1MY6-1,1MY6,1,2,A_B,A_B,UniProt,Q8DIR2
1N1B-1,1N1B,1,2,A_B,A_B,UniProt,O81192
1N1D-1,1N1D,1,2,A_B_C_D,A_B_C_D,UniProt,P27623
1N2S-1,1N2S,1,2,A,A,UniProt,P26392
1N2Z-4,1N2Z,4,2,A_B,A_B,UniProt,P37028
1N57-1,1N57,1,2,A,A,UniProt,P31658
1N5B-1,1N5B,1,2,A_B_C_D,A_B_C_D,UniProt,P31490
1N71-2,1N71,2,2,A_B_C_D,A_B_C_D,UniProt,Q47764
1NLR-1,1NLR,1,2,A,A,UniProt,Q54331
1NO5-6,1NO5,6,2,A_B,A_B,UniProt,P43933
1NOX-1,1NOX,1,2,A,A,UniProt,Q60049
1NQD-1,1NQD,1,2,A_B,A_B,UniProt,Q9X721
1NRI-1,1NRI,1,2,A,A,UniProt,P44862
1NRV-1,1NRV,1,2,A_B,A_B,UniProt,Q13322
1NSJ-1,1NSJ,1,2,A,A,UniProt,Q56320
1NSY-1,1NSY,1,2,A_B,A_B,UniProt,P08164
1NXO-1,1NXO,1,2,A,A,UniProt,A0A0H2UQ68
1NYW-1,1NYW,1,2,A_B,A_B,UniProt,Q8GIQ0
1O0W-1,1O0W,1,2,A_B,A_B,UniProt,Q9X0I6
1O4W-1,1O4W,1,2,A,A,UniProt,O29664
1O69-1,1O69,1,2,A_B,A_B,UniProt,Q9S5Y7
1O6T-1,1O6T,1,2,A,A,UniProt,P0DJM0
1O9P-1,1O9P,1,2,A_B,A_B,UniProt,Q9ZIV5
1OAJ-1,1OAJ,1,2,A,A,UniProt,P00446
1OB9-1,1OB9,1,2,A,A,UniProt,Q97YX6
1OE7-1,1OE7,1,2,A_B,A_B,UniProt,P30114
1OPA-1,1OPA,1,2,A_B,A_B,UniProt,P06768
1ORR-3,1ORR,3,2,A_B_C_D,A_B_C_D,UniProt,P14169
1OV8-6,1OV8,6,2,A_B_C_D,A_B_C_D,UniProt,P27197
1P4O-3,1P4O,3,2,A_B,A_B,UniProt,P08069
1P9B-1,1P9B,1,2,A,A,UniProt,Q9U8D3
1PBJ-2,1PBJ,2,2,A,A,UniProt,O27659
1PCF-2,1PCF,2,2,A_B_C_D_E_F_G_H,A_B_C_D_E_F_G_H,UniProt,P53999
1PO5-2,1PO5,2,2,A,A,UniProt,P00178
1PPT-1,1PPT,1,2,A,A,UniProt,P68249
1PQU-1,1PQU,1,2,A_B_C_D,A_B_C_D,UniProt,P44801
1PT5-1,1PT5,1,2,A_B,A_B,UniProt,P69902
1PV9-1,1PV9,1,2,A_B,A_B,UniProt,P81535
1PZW-1,1PZW,1,2,A,A,UniProt,Q9U405
1Q0A-3,1Q0A,3,2,A_B,A_B,UniProt,P0ACS5
1Q3O-1,1Q3O,1,2,A_B,A_B,UniProt,Q9WV48
1Q5T-1,1Q5T,1,2,A_B,A_B,UniProt,P04084
1Q6O-1,1Q6O,1,2,A_B,A_B,UniProt,P39304
1Q8H-1,1Q8H,1,2,A,A,UniProt,Q8HYY9
1Q98-1,1Q98,1,2,A_B,A_B,UniProt,Q57549
1QB7-1,1QB7,1,2,A,A,UniProt,Q27679
1QBI-1,1QBI,1,2,A_B,A_B,UniProt,P13650
1QF5-1,1QF5,1,2,A,A,UniProt,P0A7D4
1QH4-2,1QH4,2,2,A_B_C_D,A_B_C_D,UniProt,P05122
1QHZ-2,1QHZ,2,2,A,A,UniProt,O85465
1QQF-1,1QQF,1,2,A,A,UniProt,P01026
1QR0-2,1QR0,2,2,A,A,UniProt,P39135
1QVZ-1,1QVZ,1,2,A_B,A_B,UniProt,Q04432
1QY1-2,1QY1,2,2,A,A,UniProt,P11588
1QZ9-1,1QZ9,1,2,A,A,UniProt,P83788
1R1U-2,1R1U,2,2,A_B_C_D,A_B_C_D,UniProt,O85142
1R3R-1,1R3R,1,2,A,A,UniProt,P06132
1R7J-1,1R7J,1,2,A,A,UniProt,Q5W1E8
1RFY-1,1RFY,1,2,A_B,A_B,UniProt,Q57471
1RHC-1,1RHC,1,2,A,A,UniProt,O93734
1RKT-1,1RKT,1,2,A_B,A_B,UniProt,O31560
1RMT-3,1RMT,3,2,A_B_C_D,A_B_C_D,UniProt,P0AE22
1RPO-1,1RPO,1,2,A,A,UniProt,P03051
1RQB-1,1RQB,1,2,A,A,UniProt,Q70AC7
1S09-1,1S09,1,2,A_B,A_B,UniProt,P12995
1S4I-5,1S4I,5,2,A_B_C_D,A_B_C_D,UniProt,O31851
1S99-1,1S99,1,2,A_B,A_B,UniProt,O34911
1SFP-1,1SFP,1,2,A,A,UniProt,P29392
1SGU-1,1SGU,1,2,A_B,A_B,UniProt,P03367
1SHK-3,1SHK,3,2,A_B,A_B,UniProt,P10880
1SK4-2,1SK4,2,2,A,A,UniProt,Q96LB9
1SQS-1,1SQS,1,2,A_B,A_B,UniProt,A0A0H2URW2
1SU2-1,1SU2,1,2,A_B,A_B,UniProt,Q9RVK2
1SVP-1,1SVP,1,2,A_B,A_B,UniProt,P03316
1SYN-1,1SYN,1,2,A_B,A_B,UniProt,P0A884
1SZ7-1,1SZ7,1,2,A,A,UniProt,O43617
1T6F-1,1T6F,1,2,A_B,A_B,UniProt,O75496
1T6S-1,1T6S,1,2,A_B,A_B,UniProt,Q8KF54
1T8U-1,1T8U,1,2,A_B,A_B,UniProt,Q9Y663
1TC6-1,1TC6,1,2,A_B,A_B,UniProt,P41148
1TFE-1,1TFE,1,2,A,A,UniProt,P43895
1TFG-1,1TFG,1,2,A,A,UniProt,P61812
1THE-1,1THE,1,2,A_B,A_B,UniProt,P00787
1TKS-1,1TKS,1,2,A_B,A_B,UniProt,Q5A3V6
1TU6-1,1TU6,1,2,A_B,A_B,UniProt,P43235
1TUV-2,1TUV,2,2,A,A,UniProt,P0ADU2
1TWI-2,1TWI,2,2,A_B_C_D,A_B_C_D,UniProt,Q58497
1TWY-13,1TWY,13,2,A_B_C_D_E_F_G_H,A_B_C_D_E_F_G_H,UniProt,Q9KLD9
1TY2-2,1TY2,2,2,A_B_C,A_B_C,UniProt,Q7BAE3
1U0E-1,1U0E,1,2,A_B,A_B,UniProt,P06745
1U0W-2,1U0W,2,2,A_B_C_D,A_B_C_D,UniProt,P30074
1U1X-1,1U1X,1,2,A_B,A_B,UniProt,Q51792
1U2W-2,1U2W,2,2,A_B_C_D,A_B_C_D,UniProt,P20047
1U3Z-1,1U3Z,1,2,A,A,UniProt,P25799
1U4L-1,1U4L,1,2,A_B,A_B,UniProt,P13501
1U5D-7,1U5D,7,2,A_B_C_D,A_B_C_D,UniProt,Q86WV1
1U6R-1,1U6R,1,2,A_B,A_B,UniProt,P00563
1U6Z-1,1U6Z,1,2,A_B,A_B,UniProt,P0AFL6
1UAJ-1,1UAJ,1,2,A,A,UniProt,P43912
1UEH-1,1UEH,1,2,A_B,A_B,UniProt,P60472
1UET-2,1UET,2,2,A,A,UniProt,O28126
1UFB-1,1UFB,1,2,A_B_C_D,A_B_C_D,UniProt,P83963
1UFO-1,1UFO,1,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,P83821
1UII-1,1UII,1,2,A_B,A_B,UniProt,O75496
1UIX-1,1UIX,1,2,A_B,A_B,UniProt,Q28021
1UJN-1,1UJN,1,2,A_B,A_B,UniProt,P83703
1UK8-1,1UK8,1,2,A,A,UniProt,P96965
1USF-1,1USF,1,2,A_B,A_B,UniProt,P83818
1USL-1,1USL,1,2,A_B_C_D_E,A_B_C_D_E,UniProt,P9WKD7
1UWL-1,1UWL,1,2,A_B,A_B,UniProt,P25080
1V00-2,1V00,2,2,A_B_C_D,A_B_C_D,UniProt,Q6YD91
1V2G-2,1V2G,2,2,A,A,UniProt,P0ADA1
1V2X-1,1V2X,1,2,A,A,UniProt,Q5SM16
1V2Z-1,1V2Z,1,2,A,A,UniProt,Q79V62
1V3V-1,1V3V,1,2,A_B,A_B,UniProt,Q9EQZ5
1V4B-1,1V4B,1,2,A,A,UniProt,P41407
1V4V-1,1V4V,1,2,A_B,A_B,UniProt,P83824
1V57-1,1V57,1,2,A_B,A_B,UniProt,P77202
1V6Z-1,1V6Z,1,2,A_B,A_B,UniProt,Q5SKI6
1V8I-1,1V8I,1,2,A,A,UniProt,Q84CU3
1VE1-1,1VE1,1,2,A,A,UniProt,Q5SLE6
1VHB-1,1VHB,1,2,A_B,A_B,UniProt,P04252
1VHX-1,1VHX,1,2,A_B,A_B,UniProt,O34634
1VIO-1,1VIO,1,2,A_B,A_B,UniProt,P45124
1VKY-1,1VKY,1,2,A_B,A_B,UniProt,Q9WZ44
1VLC-1,1VLC,1,2,A,A,UniProt,Q9WZ26
1VLR-1,1VLR,1,2,A_B,A_B,UniProt,Q9DAR7
1VLS-1,1VLS,1,2,A,A,UniProt,P02941
1VP6-1,1VP6,1,2,A_C,A_B,UniProt,Q98GN8
1VPB-1,1VPB,1,2,A,A,UniProt,Q8A1L2
1VQB-1,1VQB,1,2,A,A,UniProt,P69543
1VQU-1,1VQU,1,2,A_B,A_B,UniProt,Q8YXQ9
1VSC-1,1VSC,1,2,A_B,A_B,UniProt,P19320
1VSV-5,1VSV,5,2,A_B_C_D,A_B_C_D,UniProt,Q7YYQ9
1VZG-1,1VZG,1,2,A_B,A_B,UniProt,Q46495
1W4V-3,1W4V,3,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,Q99757
1W53-1,1W53,1,2,A,A,UniProt,P40399
1W5X-1,1W5X,1,2,A_B,A_B,UniProt,P03366
1WDE-2,1WDE,2,2,A,A,UniProt,Q9YDI2
1WIW-1,1WIW,1,2,A_B,A_B,UniProt,Q5SIM3
1WKV-1,1WKV,1,2,A_B,A_B,UniProt,Q9YBL2
1WL6-2,1WL6,2,2,A,A,UniProt,P15034
1WLG-1,1WLG,1,2,A_B,A_B,UniProt,P0A1J1
1WLY-2,1WLY,2,2,A,A,UniProt,Q59I44
1WMX-1,1WMX,1,2,A_B,A_B,UniProt,A3DD30
1WNL-1,1WNL,1,2,A_B,A_B,UniProt,O57883
1WNW-4,1WNW,4,2,A_B_C,A_B_C,UniProt,P71119
1WRV-4,1WRV,4,2,A_B_C,A_B_C,UniProt,Q5SM19
1WSW-1,1WSW,1,2,A,A,UniProt,P00323
1WWS-1,1WWS,1,2,A_B_C_D_E_F_G_H,A_B_C_D_E_F_G_H,UniProt,Q5SI95
1WWZ-1,1WWZ,1,2,A_B,A_B,UniProt,O59596
1WXH-2,1WXH,2,2,A,A,UniProt,P18843
1X0R-2,1X0R,2,2,A_B_C_D_E_F_G_H_I_J,A_B_C_D_E_F_G_H_I_J,UniProt,Q9Y9L0
1X7V-6,1X7V,6,2,A_B_C,A_B_C,UniProt,Q9HY51
1X8D-2,1X8D,2,2,A_B_C_D,A_B_C_D,UniProt,P32156
1X9H-1,1X9H,1,2,A_B,A_B,UniProt,Q8ZWV0
1XBW-1,1XBW,1,2,A_B_C_D,A_B_C_D,UniProt,Q8NX62
1XGS-1,1XGS,1,2,A_B,A_B,UniProt,P56218
1XHK-1,1XHK,1,2,A_B,A_B,UniProt,Q58812
1XI3-1,1XI3,1,2,A_B,A_B,UniProt,Q8U192
1XNF-1,1XNF,1,2,A_B,A_B,UniProt,P0AFB1
1XTA-1,1XTA,1,2,A_B,A_B,UniProt,Q7T1K6
